Italian,English
non,Not
di,from
che,that
è,And
e,And
la,there
il,the
un,a
a,to
per,for
in,in
una,a
mi,me
sono,I'm
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,like
da,from
ci,there
no,no
questo,this
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,Well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',c '
perché,because
lei,she
solo,alone
te,you
era,was
gli,the
tutto,everything
della,of the
così,like this
mia,my
ne,neither
questa,this
fare,Do
quando,when
ora,Now
fatto,done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,all
molto,very
dei,of the
anche,also
detto,said
quello,that
va,it goes
niente,nothing
grazie,Thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,where is it
posso,I can
oh,Oh
prima,first
allora,so
siamo,are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,do you want
ancora,still
qualcosa,something
vero,real
casa,home
sia,is
su,on
tua,your
sempre,always
forse,perhaps
dire,to say
vi,you
loro,they
i',the'
altro,other
sai,you know
stai,you are
devo,I must
quella,that
vita,life
quel,that
delle,from the
tempo,weather
andare,to go
certo,Certain
poi,then
nella,in
uomo,man
signore,Gentleman
ad,to
po',bit'
può,can
credo,I believe
voi,you
già,already
adesso,now
andiamo,let's go
anni,years
all',all '
visto,seen
fuori,out
proprio,own
parte,part
davvero,really
vuole,wants
li,there
dell',dell '
sto,I'm
quanto,how much
volta,time
via,Street
sul,on the
é,And
dio,God
sarà,Sara
dopo,after
senza,without
cose,what's this
nessuno,nobody
fai,you do
giorno,day
ed,and
meglio,better
padre,father
puoi,you can
ciao,Hello
cos',cos'
devi,you have to
ecco,there
qualcuno,someone
dal,from
lavoro,work
sa,know
ai,to the
vedere,to see
ogni,every
ii,ii
troppo,too
posto,place
cui,which
tanto,much
male,bad
dai,come on
ce,there is
bisogno,need
signor,Mr
beh,well
perchè,because
vieni,You come
alle,to
dalla,from the
stata,was
tra,between
vai,Go
ehi,Hey
miei,my
amico,friend
dice,He says
sarebbe,would be
avete,you have
altra,other
deve,needs to
sulla,on the
qualche,some
sembra,it seems
gente,people
dobbiamo,we have to
modo,way
tre,three
momento,moment
prego,You are welcome
parlare,speak
mamma,mom
guarda,look
signora,Mrs
grande,great
lì,there
madre,mother
possiamo,we can
avanti,come on
